ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີຂອງປີ 2 ພາກຮຽນ 1,"ລາຍວິຊາຮຽນຂອງປີ 2 ພາກຮຽນ 1 ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນມີ ຄະນິດສາດສຳລັບຄອມພິວເຕີ2, ແຄນຄູລັດສ໌2, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ1, ດາຕາຊາຍ(Data Science), ໂຄງສ້າງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ1, ການຂຽນໂປຣແກຣມພາສາ R ສຳລັບ Data Science ແລະ ລະບົບຂ່າວສານເພື່ອການບໍລິຫານ(MIS)"
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີຂອງປີ 2 ພາກຮຽນ 2,"ລາຍວິຊາຮຽນຂອງປີ 2 ພາກຮຽນ 2 ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນມີ ໂຄງສ້າງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ2, ສະຖິຕິວິໄຈ, ດາຕາ ມາຍນິ່ງ(Data Mining), ການວິເຄາະ ແລະ ອອກແບບລະບົບ(ແບບວັດຖຸ), Database Programming, ສຶກສາປ້ອງກັນຕົວ ແລະ ມະນຸດສຳພັນ"
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີຂອງປີ 3 ພາກຮຽນ 1,"ລາຍວິຊາຮຽນຂອງປີ 3 ພາກຮຽນ 1 ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນມີ ການສື່ສານຂໍ້ມູນ ແລະ ເຄືອຂ່າຍ, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ2, ວິທີການຄົ້ນຄວ້າ(ວິທະຍາສາດຄອມພິວເຕີ), ການສືບຄົ້ນຂໍ້ມູນຂ່າວສານ(Information Retrieval), Computer Vision: ປະມວນຜົນຮູບພາບ(Digital Image Processing), ໄຟຟ້າສຳລັບຄອມພິວເຕີ(Electricity 1) ແລະ ປັນຍາປະດິດ(Artificial Intelligence)"
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີຂອງປີ 3 ພາກຮຽນ 2,"ລາຍວິຊາຮຽນຂອງປີ 3 ພາກຮຽນ 2 ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນມີ ມາຊິນເລີນນິ່ງ (Machine Learning), ສຳມະນາ1, ຄອມພິວເຕີກຣາບຟິກ, ວິສະວະກຳຊັອບແວ, Introduction to Blockchain Technology, ການບໍລິຫານເຄື່ອງແມ່ຂ່າຍ, Computer Security and Forensics ແລະ ການບຳລຸງຮັກສາ ແລະ ແກ້ໄຂບັນຫາຄອມພິວເຕີ (CompTIA A+) "
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີຂອງປີ 4 ພາກຮຽນ 1,"ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 1 ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນມີ ການເມືອງປະຈຸບັນ, ພາສາອັງກິດສຳລັບຄອມພິວເຕີ3, ສຳມະນາ2, ບິກດາຕາ (Introduction to Big Data), Introduction to Internet of Things(IoT), Hybrid Mobile App, Introduction to Cloud Computing ແລະ ວິຊາເລືອກ"
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີຂອງປີ 4 ພາກຮຽນ 2,ລາຍວິຊາຮຽນຂອງປີ 4 ພາກຮຽນ 2 ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນມີ ໂູໍຄງການຈົບຊັ້ນ ແລະ ເຝິກງານ ຫຼື ເຮັດໂຄງການຂະໜາດນ້ອຍ
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີແນ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນມີ 3 ຫຼັກສູດຄື ຫຼັກສູດປະລິນຍາຕີ, ຫຼັກສູດປະລິນຍາຕີຕໍ່ເນື່ອງ ແລະ ຫຼັກສູດປະລິນຍາໂທ ທ່ານຢາກຮູ້ລາຍວິຊາຮຽນຂອງຫຼັກສູດໃດ?"
ຖ້າຈະເຂົ້າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຕ້ອງມີເງື່ອນໄຂໃດແດ່,"ຜູ້ທີ່ຈະເຂົ້າສຶກສາໃນຫຼັກສູດສາຂາວິທະຍາສາດຄອມພິວເຕີຕ້ອງແມ່ນຜູ້ທີ່ມີໃບປະກາສະນີຍະບັດ ຈົບມັດທະຍົມປາຍ ຫຼື ທຽບເທົ່າ, ຊັ້ນກາງ ຫຼື ທຽບເທົ່າ. ຖ້າເປັນພະນັກງານຕ້ອງມີໃບນຳສົ່ງ ແລະ ຂໍ້ຕົກລົງຕາມໂກຕາ ຫຼື ຮູບການອື່ນຂອງກະຊວງ ຫຼື ກົມກອງທີ່ກ່ຽວຂ້ອງມີສຸຂະພາບແຂງແຮງດີ"
ຖ້າຈະເຂົ້າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຕ້ອງເຮັດແນວໃດ,ຖ້າຈະເຂົ້າຮຽນສາຂານີ້ແມ່ນຕ້ອງຜ່ານເງື່ອນໄຂທີ່ໄດ້ກຳນົດໄວ້ແລ້ວຍື່ນຄຳຮ້ອງເພື່ອສອບເສັງຄັດເລືອກເຂົ້າໃນແຕ່ລະຕົ້ນສົກຮຽນໂດຍມີຄະນະກຳມະການສອບເສັງຄັດເລືອກຈາກ ມ.ຊ ສົມທົບກັບກົມການສຶກສາຊັ້ນສູງກະຊວງສຶກສາທິການເພື່ອຄັດເລືອກ
ສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນເລກບໍ,ອີງຕາມວິຊາຮຽນແລ້ວ ສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ມີການສອນຄະນິດສາດສຳລັບຄອມພິວເຕີ
ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນພາສາໂປຣແກຣມບໍ,"ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນພາສາໂປຣແກຣມເຊັ່ນ C, Python, R, SQL, Dart ແລະ C# ເປັນຕົ້ນ"
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີເທົ່າໃດ,ຄ່າຮຽນແມ່ນຈະໄລ່ຕາມໜ່ວຍກິດຂອງວິຊາຮຽນໃນແຕ່ລະປີຕົກຢູ່ໜ່ວຍກິດລະ 35.000 ກີບ ແລະ ຄ່າອື່ນໆເຊັ່ນ ບູລະນະຫ້ອງທົດລອງ ຄ່າລົງທະບຽນ ແລະ ຄ່າຫໍສະໝຸດ ເຊິ່ງຈະຕ່າງກັນໃນແຕ່ລະປີ ແລະ ຫຼັກສູດ ເຈົ້າຢາກຮູ້ຂອງປີ ແລະ ຫຼັກສູດໃດ
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 1 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 1 ໂດຍລວມແມ່ນ 1,605,000 ກີບ"
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 2 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 2 ໂດຍລວມແມ່ນ 1640,000 ກີບ"
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 3 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປິ 3 ໂດຍລວມແມ່ນ 1,570,000 ກີບ"
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 4 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປິ 4 ໂດຍລວມແມ່ນ 1,220,000 ກີບ"
ໜ່ວຍກິດຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 1 ມີຈັກໜ່ວຍກິດ,ມີ 37 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 19 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 18 ໜ່ວຍກິດ
ໜ່ວຍກິດຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 2 ມີຈັກໜ່ວຍກິດ,ມີ 38 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 18 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 20 ໜ່ວຍກິດ
ໜ່ວຍກິດຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 3 ມີຈັກໜ່ວຍກິດ,ມີ 36 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 18 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 18 ໜ່ວຍກິດ
ໜ່ວຍກິດຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 4 ມີຈັກໜ່ວຍກິດ,ມີ 26 ໜ່ວຍກິດ ພາກຮຽນ 1 ມີ 17 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 9 ໜ່ວຍກິດ
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 1 ເສຍຄ່າຫຍັງແນ່,ຄ່າລົງທະບຽນ
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 2 ເສຍຄ່າຫຍັງແນ່,ຄ່າຫໍສະໝຸດ
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 3 ເສຍຄ່າຫຍັງແນ່,ຄ່າລົງທະບຽນ
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 4 ເສຍຄ່າຫຍັງແນ່,ຄ່າລົງທະບຽນ
ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 1 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"1,520,000 ກີບ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 2 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"1,520,000 ກີບ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 3 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"1,520,000 ກີບ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 4 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"1,520,000 ກີບ"
ຖ້າໄດ້ທຶນແມ່ນຮຽນຟີບໍ,ໄດ້ເສຍຄ່າລົງທະບຽນ
ເສັງໄດ້ທຶນຍັງໄດ້ເສຍຄ່າຮຽນບໍ,ໄດ້ເສຍຄ່າລົງທະບຽນ
ເປັນນັກສຶກສາທຶນເສຍຄ່າຮຽນເທົ່າໃດ,ເສຍຄ່າລົງທະບຽນ
ຄ່າຮຽນນັກສຶກສາທຶນເສຍຄ່າຫຍັງແນ່,ເສຍຄ່າລົງທະບຽນ
ຂຽນເກມແມ່ນໄດ້ຮຽນໃນປີໃດຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີ,ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີຈະໄດ້ຮຽນຮູ້ຫຼັກການພັດທະນາເກມໃນປີ 3 ໃນວິຊາຄອມພິວເຕີກຣາບຟິກ
ສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນກ່ຽວກັບAIບໍ,ແມ່ນໄດ້ຮຽນກ່ຽວກັບAI ໃນວິຊາປັນຍາປະດິດ ແລະ ປັດຈຸບັນວິຊາຮຽນໃນສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນມີຄວາມສອດຂ້ອງກັບປັນຍາປະດິດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນສ້າງຫຸ່ນຍົນບໍ,ອາດຈະບໍ່ໄດ້ຮຽນໂດຍຕົງໃນວິຊາຮຽນແຕ່ໃນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແມ່ນມີກຸ່ມນັກປະດິດ NUOL Maker ທີ່ສາມາດແລກປ່ຽນຄວາມຮູ້ ແລະ ຮຽນຮູ້ໃນການສ້າງຫຸ່ນຍົນໄດ້
ຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີແລ້ວເປັນແຮັກເກີໄດ້ບໍ,ສາມາດເປັນໄດ້ໂດຍທາງສາຂາວິທະຍາສາດຄອມພິວເຕີຈະບໍ່ໄດ້ສອນປະຕິບັດແຕ່ກໍມີວິຊາທີ່ກ່ຽວຂ້ອງເຊັ່ນ Computer Security and Forensics
