ສະບາຍດີ,ສະບາຍດີ ມີຫຍັງໃຫ້ຊ່ວຍບໍ
ມີຫຼັກສູດປະລິນຍາໂທບໍ,ຫຼັກສູດປະລິນຍາໂທຂອງພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ ປະກອບມີ 1 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ
ມີຫຼັກສູດຊັ້ນສູງບໍ,ໃນປັດຈຸບັນຍັງບໍ່ທັນມີຫຼັກສູດຊັ້ນສູງເທື່ອ
ມີຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີບໍ,"ໂດຍ, ມີຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ 1 ສາຂາ ຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ"
ມີຫຼັກສູດປະລິນຍາຕີບໍ,"ຫຼັກສູດປະລິນຍາຕີປະກອບມີທັງໝົດ 3 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ, ສາຂາການພັດທະນາເວັບໄຊ ແລະ ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ"
ຫຼັກສູດປະລິນຍາໂທມີຈັກສາຂາ,ປັດຈຸບັນຫຼັກສູດປະລິນຍາໂທມີ 1 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ
ຫຼັກສູດປະລິນຍາໂທມີສາຂາໃດແດ່,ຫຼັກສູດປະລິນຍາໂທມີ 1 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ
ຫຼັກສູດປະລິນຍາຕີມີຈັກສາຂາ,"ຫຼັກສູດປະລິນຍາຕີປະກອບມີທັງໝົດ 3 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ, ສາຂາການພັດທະນາເວັບໄຊ ແລະ ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ"
ຫຼັກສູດປະລິນຍາຕີມີສາຂາໃດແດ່,"ຫຼັກສູດປະລິນຍາຕີປະກອບມີທັງໝົດ 3 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ, ສາຂາການພັດທະນາເວັບໄຊ ແລະ ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ"
ຫຼັກສູດປະລິນຍາເອກມີຈັກສາຂາ,ໃນຕອນນີ້ຍັງບໍ່ທັນມີຫຼັກສູດປະລິນຍາເອກເທື່ອເຈົ້າ
ຫຼັກສູດປະລິນຍາເອກມີສາຂາໃດແດ່,ໃນຕອນນີ້ຍັງບໍ່ທັນມີຫຼັກສູດປະລິນຍາເອກເທື່ອເຈົ້າ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີມີຈັກສາຂາ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີປະກອບມີ 1 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີມີສາຂາໃດແດ່,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີປະກອບມີ 1 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ
ຫຼັກສູດຕໍ່ເນື່ອງມີຈັກສາຂາ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີປະກອບມີ 1 ສາຂາຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ
ສາຂາວິທະຍາສາດຄອມພິວເຕີມີຈັກຫຼັກສູດ,"ສາຂາວິທະຍາສາດຄອມພິວເຕີປະກອບມີ 3 ຫຼັກສູດຄື: ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ, ຫຼັກສູດປະລິນຍາຕີ ແລະ ຫຼັກສູດປະລິນຍາໂທ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີມີຫຼັກສູດໃດແດ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີປະກອບມີ 3 ຫຼັກສູດຄື: ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ, ຫຼັກສູດປະລິນຍາຕີ ແລະ ຫຼັກສູດປະລິນຍາໂທ"
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີມີຈັກຫຼັກສູດ,ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປະກອບມີ 1 ຫຼັກສູດຄື: ຫຼັກສູດປະລິນຍາຕີ
ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີມີຫຼັກສູດໃດແດ່,ສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີປະກອບມີ 1 ຫຼັກສູດຄື: ຫຼັກສູດປະລິນຍາຕີ
ສາຂາການພັດທະນາເວັບໄຊມີຈັກຫຼັກສູດ,ສາຂາການພັດທະນາເວັບໄຊປະກອບມີ 1 ຫຼັກສູດຄື: ຫຼັກສູດປະລິນຍາຕີ
ສາຂາການພັດທະນາເວັບໄຊມີຫຼັກສູດໃດແດ່,ສາຂາການພັດທະນາເວັບໄຊປະກອບມີ 1 ຫຼັກສູດຄື: ຫຼັກສູດປະລິນຍາຕີ
ໃຜເປັນຄົນຮັບຜິດຊອບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ,"ຄົນຮັບຜິດຊອບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແມ່ນຫົວໜ້າພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ ອຈ.ປອ. ລັດສະໝີ ຈິດຕະວົງ, ຮອງຫົວໜ້າພາກວິຊາ ຊອ.ປທ. ອໍລະດີ ຄຳມະນີວົງ ແລະ ອຈ.ປທ. ອາມອນ ຈັນທະພາວົງ"
ຊື່ຫຼັກສູດພາສາລາວຂອງຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຫຍັງ,ຫຼັກສູດປະລິນຍາຕີ ວິທະຍາສາດ ສາຂາ ວິທະຍາສາດຄອມພິວເຕີ
ຊື່ຫຼັກສູດພາສາອັງກິດຂອງຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຫຍັງ,Bachelor of Science Program in Computer Science
ຊື່ຫຼັກສູດພາສາລາວຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຫຍັງ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຊື່ຫຼັກສູດພາສາອັງກິດຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຫຍັງ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຂໍຊ່ອງທາງຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແດ່,"ຊ່ອງທາງຕິດຕໍ່ຜູ້ຮັບຜິດຊອບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແມ່ນ ເບີໂທລະສັບ: 020 22245128, 020 77712077 ອີເມວ: cs.fns@nuol.edu.la"
ຂໍອີເມວຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແດ່,ອີເມວຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແມ່ນ ອີເມວ: cs.fns@nuol.edu.la
ຂໍເບີໂທຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແດ່,"ເບີໂທລະສັບຂອງຜູ້ຮັບຜິດຊອບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີແມ່ນ 020 22245128, 020 77712077"
ຂໍຊ່ອງທາງຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາວິທະຍາສາດຄອມພິວເຕີແດ່,ຊ່ອງທາງຕິດຕໍ່ຜູ້ຮັບຜິດຊອບສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນ ແຕກຕ່າງກັນໃນແຕ່ລະຫຼັກສູດ
ຂໍອີເມວຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາວິທະຍາສາດຄອມພິວເຕີແດ່,ອີເມວຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນ ແຕກຕ່າງກັນໃນແຕ່ລະຫຼັກສູດ
ຂໍເບີໂທຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາວິທະຍາສາດຄອມພິວເຕີແດ່,ເບີໂທລະສັບຂອງຜູ້ຮັບຜິດຊອບສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນ ແຕກຕ່າງກັນໃນແຕ່ລະຫຼັກສູດ
ຂໍຊ່ອງທາງຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາເວັບໄຊແດ່,ຊ່ອງທາງຕິດຕໍ່ຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາເວັບໄຊ ແມ່ນຂຶ້ນກັບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ
ຂໍອີເມວຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາເວັບໄຊແດ່,ອີເມວຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາເວັບໄຊ ແມ່ນຂຶ້ນກັບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ
ຂໍເບີໂທຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາເວັບໄຊແດ່,ເບີໂທລະສັບຂອງຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາເວັບໄຊ ແມ່ນຂຶ້ນກັບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ
ຂໍຊ່ອງທາງຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແດ່,ຊ່ອງທາງຕິດຕໍ່ຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ແມ່ນຂຶ້ນກັບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ
ຂໍອີເມວຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແດ່,ອີເມວຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ແມ່ນຂຶ້ນກັບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ
ຂໍເບີໂທຕິດຕໍ່ກັບຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີແດ່,ເບີໂທລະສັບຂອງຜູ້ຮັບຜິດຊອບສາຂາການພັດທະນາໂປຣແກຣມຄອມພິວເຕີ ແມ່ນຂຶ້ນກັບພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ
ຮຽນຈົບສາຂາວິທະຍາສາດຄອມພິວເຕີແລ້ວໄດ້ຫຍັງແນ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຮຽນຈົບຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີແລ້ວໄດ້ຫຍັງແນ່,"ຫຼັງຈາກຮຽນຈົບຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແລ້ວຈະມີຄວາມຮູ້ຄວາມສາມາດ, ມີປະສົບການຄວາມຊ່ຽວຊານ ໃນການນຳເອົາຄວາມຮູ້ກ່ຽວກັບວິທີການຄົ້ນຄວ້າວິໄຈດ້ານວິທະຍາສາດຄອມພິວເຕີ ເຂົ້າໃນການວິເຄາະບັນຫາ ແລະ ອອກແບບ ວິທີແກ້ບັນຫາຕ່າງໆໃນສັງຄົມໄດ້ຢ່າງຖືກຕ້ອງ ນອກຈາກນີ້ຍັງມີຫົວຄິດປະດິດສ້າງນະວັດຕະກຳເຕັກໂນໂລຊີ ແລະ ວິເຄາະບັນຫາຢ່າງມີຫຼັກການວິທະຍາສາດ"
ຮຽນຈົບສາຂາວິທະຍາສາດຄອມພິວເຕີມາແລ້ວເຮັດວຽກຫຍັງໄດ້ແນ່,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຮຽນຈົບຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມາແລ້ວເຮັດວຽກຫຍັງໄດ້ແນ່,"ຜູ້ທີ່ຈົບຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ສາມາດປະກອບອາຊີບໄດ້ຫຼາກຫຼາຍເຊັ່ນ: ນັກວິທະຍາສາດຄອມພິວເຕີ, ນັກວິທະຍາສາດຂໍ້ມູນ, ນັກວິເຄາະ - ອອກແບບລະບົບເຕັກໂນໂລຊີ ແລະ ນັກພັດທະນາຊອບແວ ນອກນັ້ນຍັງສາມາດເປັນພະນັກງານໃນອົງການຈັດຕັ້ງຕ່າງໆ ທັງພາກລັດ ແລະ ເອກະຊົນ ຫຼື ຈະສາມາດເປັນທີ່ປຶກສາ, ນັກຄົ້ນຄວ້າ - ພັດທະນາເຕັກໂນໂລຊີ ແລະ ນະວັດຕະກຳ ຫຼື ຈະປະກອບອາຊີບເປັນຂອງຕົນເອງກໍໄດ້"
ຖ້າຢາກເຮັດວຽກເປັນນັກພັດທະນາຊອບແວແມ່ນຮຽນສາຍໃດ,ໃນການເປັນນັກພັດທະນາຊອບແວແມ່ນສາມາດເລືອກຮຽນໄດ້ທຸກສາຂາໃນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີໄດ້
ພັດທະນາເກມແມ່ນຮຽນໂຕໃດ,"ໃນການພັດທະນາເກມແມ່ນບໍ່ໄດ້ສອນເປັນຫຼັກສູດສະເພາະໃນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ, ນັກສຶກສາສາມາດເລືອກສາຂາທີ່ຕົນມັກແລ້ວນຳໄປສຶກສາຕໍ່ຍອດໄດ້"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີໝວດວິຊາຄວາມຮູ້ທົ່ວໄປຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປະກອບມີໝວດວິຊາຄວາມຮູ້ທົ່ວໄປຈຳນວນ 20 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີໝວດວິຊາພື້ນຖານວິຊາສະເພາະຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປະກອບມີໝວດວິຊາພື້ນຖານວິຊາສະເພາະຈຳນວນ 40 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີໝວດວິຊາສະເພາະຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປະກອບມີໝວດວິຊາສະເພາະຈຳນວນ 74 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີໝວດວິຊາເລືອກຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປະກອບມີໝວດວິຊາເລືອກຈຳນວນ 3 ໜ່ວຍກິດ
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີແນ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີແນ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນວິຊາຫຍັງແດ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນວິຊາຫຍັງແດ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ແນ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ແນ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ຮຽນວິຊາຫຍັງແດ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ຮຽນວິຊາຫຍັງແດ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ແນ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ແນ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ຮຽນວິຊາຫຍັງແດ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ຮຽນວິຊາຫຍັງແດ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ແນ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ແນ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ຮຽນວິຊາຫຍັງແດ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ຮຽນວິຊາຫຍັງແດ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ແນ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຂໍເບິ່ງວິຊາຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ແນ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ຮຽນວິຊາຫຍັງແດ່,"ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ, ປີໃດ ແລະ ພາກຮຽນໃດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ຮຽນວິຊາຫຍັງແດ່,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີ 4 ປີ ແຕ່ລະປີມີ 2 ພາກຮຽນ ກະລຸນາລະບຸລະອຽດວ່າຢາກຮູ້ລາຍວິຊາຮຽນຂອງປີໃດ ແລະ ພາກຮຽນໃດ?
ຂໍເບິ່ງວິຊາຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຂອງປີ 1 ພາກຮຽນ 1,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
